city,date,price_local,currency,hpi,income,median_multiple,country,rate,monthly_payment,mdsr
London,2023-04,557147.0,GBP,97.6,51416.438356164384,10.83597032024298,UK,4.6,3128.512561012249,0.7301585238574972
London,2023-05,554900.0,GBP,97.2,51457.53424657534,10.783649238632734,UK,4.72,3154.013896760577,0.7355223547977493
London,2023-06,556107.0,GBP,97.4,51500.0,10.79819417475728,UK,5.49,3411.663291306347,0.7949506698189547
London,2023-07,559703.0,GBP,98.0,51540.983606557376,10.859377544529265,UK,6.22,3681.8169627092384,0.8572169264323035
London,2023-08,560630.0,GBP,98.2,51583.333333333336,10.86843295638126,UK,6.18,3674.083608224834,0.8547141188762134
London,2023-09,565702.0,GBP,99.1,51625.68306010929,10.957763006086267,UK,5.91,3613.7672308480874,0.8399928911291241
London,2023-10,555122.0,GBP,97.2,51666.666666666664,10.744296774193549,UK,5.6,3442.1656873709353,0.7994707402926043
London,2023-11,547757.0,GBP,96.0,51709.016393442624,10.5930655464849,UK,5.28,3292.1232669575697,0.7639959519419643
London,2023-12,549112.0,GBP,96.2,51750.0,10.610859903381645,UK,5.03,3219.6591872857316,0.746587637631474
London,2024-01,551097.0,GBP,96.5,51792.34972677596,10.640509706689176,UK,4.71,3129.233962345523,0.7250261427844238
London,2024-02,546247.0,GBP,95.7,51834.69945355191,10.53824958490367,UK,4.76,3117.3916505539946,0.7216922293563053
London,2024-03,547437.0,GBP,95.9,51874.31693989071,10.55314136732329,UK,4.96,3187.5171169822047,0.7373630663534101
London,2024-04,548467.0,GBP,96.1,51916.666666666664,10.564372391653292,UK,4.98,3199.8956878601725,0.7396227593127847
London,2024-05,553592.0,GBP,97.0,51957.65027322404,10.654677359135489,UK,5.19,3297.8203708624383,0.7616557762378897
London,2024-06,556853.0,GBP,97.5,52000.0,10.708711538461538,UK,5.16,3307.4274001665676,0.7632524769615157
London,2024-07,557831.0,GBP,97.7,52000.0,10.72751923076923,UK,4.99,3257.7752314187655,0.7517942841735613
London,2024-08,567121.0,GBP,99.3,52000.0,10.906173076923077,UK,4.8,3249.5861012431747,0.7499044849022711
London,2024-09,566882.0,GBP,99.3,52000.0,10.901576923076924,UK,4.58,3176.710592337548,0.7330870597702034
London,2024-10,560909.0,GBP,98.3,52000.0,10.78671153846154,UK,4.4,3085.962681375581,0.7121452341635957
London,2024-11,559925.0,GBP,98.1,52000.0,10.767788461538462,UK,4.53,3121.7871308862477,0.7204124148199033
London,2024-12,556882.0,GBP,97.5,52000.0,10.70926923076923,UK,4.6,3127.024523153895,0.721621043804745
New York,2019-01,432541.994842799,USD,201.596706685941,,,USA,4.464,2182.38422888403,
New York,2019-02,433734.61280429666,USD,202.15255526536,,,USA,4.37,2164.294034265874,
New York,2019-03,431017.3043780017,USD,200.886087647597,,,USA,4.265,2124.1327138039333,
New York,2019-04,430556.5102660349,USD,200.67132335525,,,USA,4.1425,2091.070937985825,
New York,2019-05,430564.7302558302,USD,200.675154481225,,,USA,4.072,2073.49424177314,
New York,2019-06,429945.17618041625,USD,200.386396250333,72038.0,5.968310838452154,USA,3.8025,2003.9730846350872,0.33381933168079414
New York,2019-07,429514.3532648127,USD,200.185600762297,72145.86885245901,5.953415768589405,USA,3.765,1992.805545661062,0.3314627286121827
New York,2019-08,430946.7904447204,USD,200.85322291563,72257.33333333333,5.964056111186691,USA,3.616,1963.156097177023,0.3260274366540551
New York,2019-09,432272.4596628981,USD,201.47108326613,72368.79781420765,5.973188345240594,USA,3.605,1966.521348050507,0.32608329679857145
New York,2019-10,433883.0031945669,USD,202.221716212364,72476.66666666667,5.98651984355287,USA,3.688,1994.145913087604,0.3301717926282194
New York,2019-11,434331.8929966962,USD,202.430932211858,72588.13114754099,5.983511162642871,USA,3.695,1997.927700624181,0.33028998031040174
New York,2019-12,435940.7312176666,USD,203.180770356605,72696.0,5.996763662617841,USA,3.72,2011.4956075484351,0.33203955225296056
New York,2020-01,436921.8978446091,USD,203.638066903669,72807.46448087432,6.00105910788012,USA,3.624,1992.3420938446059,0.32837436788388163
New York,2020-02,440480.6440543334,USD,205.296707045818,72918.92896174864,6.040689987169148,USA,3.4650000000000003,1969.359158241508,0.3240901948970615
New York,2020-03,439428.71569311834,USD,204.806430273114,73023.20218579235,6.017658806239192,USA,3.45,1960.9870941481013,0.3222516190115209
New York,2020-04,438974.6893039165,USD,204.594820242405,73134.66666666667,6.002279210551081,USA,3.306,1923.9633687061914,0.3156855903876998
New York,2020-05,437796.7890463805,USD,204.045831206531,73242.53551912568,5.977357090976997,USA,3.2325,1901.116947038478,0.31147752057961614
New York,2020-06,437330.7191293146,USD,203.828607997025,73354.0,5.961920537793639,USA,3.1625,1882.3522729928295,0.30793449949442364
New York,2020-07,438988.6544453718,USD,204.601329035908,73426.0,5.978654079554542,USA,3.016,1854.5841435979899,0.30309440420526623
New York,2020-08,446106.9974822165,USD,207.919005771112,73500.4,6.069449927921706,USA,2.935,1865.2024783801635,0.3045211963548765
New York,2020-09,454200.59102629346,USD,211.691221702038,73574.8,6.1733173726098265,USA,2.89,1888.087738205379,0.3079458300731303
New York,2020-10,463538.8648949893,USD,216.043551141737,73646.8,6.294080189431031,USA,2.834,1913.044325468836,0.311711193230745
New York,2020-11,473433.3377748454,USD,220.655110645219,73721.2,6.421942911602707,USA,2.765,1936.5134592320085,0.3152168102361885
New York,2020-12,481547.60722714,USD,224.436963085557,73793.2,6.52563660645073,USA,2.684,1949.0819352781555,0.3169530962654806
New York,2021-01,489109.6287723236,USD,227.961426970159,73867.6,6.621436580751555,USA,2.735,1992.862966134817,0.32374621070154985
New York,2021-02,495251.6761720373,USD,230.824077401457,73942.0,6.697839876822879,USA,2.81,2037.5954384388244,0.33068006358045354
New York,2021-03,498950.1800567982,USD,232.547855003916,74009.2,6.741731839511821,USA,3.0825,2125.8594619090995,0.3446911133063078
New York,2021-04,503787.28476850863,USD,234.802305187719,74083.6,6.800253831732105,USA,3.06,2140.3245047195255,0.34668798568960346
