city,date,price_local,currency,hpi,income,median_multiple
Vancouver,2019-10,894300.0,CAD,252.1,92100.0,9.710097719869706
Vancouver,2019-11,903900.0,CAD,254.8,92125.40983606558,9.811625279154395
Vancouver,2019-12,911800.0,CAD,257.1,92150.0,9.894736842105264
Vancouver,2020-01,917100.0,CAD,258.6,92175.40983606558,9.949508243370623
Vancouver,2020-02,916800.0,CAD,258.5,92200.81967213115,9.943512468329109
Vancouver,2020-03,911500.0,CAD,257.0,92224.59016393442,9.883481166788133
Vancouver,2020-04,906100.0,CAD,255.5,92250.0,9.822222222222223
Vancouver,2020-05,907300.0,CAD,255.8,92274.59016393442,9.832609371530092
Vancouver,2020-06,911900.0,CAD,257.1,92300.0,9.879739978331529
Vancouver,2020-07,923700.0,CAD,260.4,92119.17808219178,10.027227980430354
Vancouver,2020-08,939300.0,CAD,264.8,91932.32876712328,10.217298012534533
Vancouver,2020-09,952300.0,CAD,268.5,91745.47945205479,10.379802968904444
Vancouver,2020-10,960900.0,CAD,270.9,91564.65753424658,10.49422370897427
Vancouver,2020-11,974100.0,CAD,274.6,91377.80821917808,10.660137499287918
Vancouver,2020-12,984300.0,CAD,277.5,91196.98630136986,10.793119815903554
Vancouver,2021-01,994800.0,CAD,280.5,91010.13698630137,10.930650507093896
Vancouver,2021-02,1010900.0,CAD,285.0,90823.28767123287,11.130405272921978
Vancouver,2021-03,1040600.0,CAD,293.4,90654.52054794521,11.478743627016915
Vancouver,2021-04,1059400.0,CAD,298.7,90467.67123287672,11.71026053354411
Vancouver,2021-05,1068300.0,CAD,301.2,90286.8493150685,11.832287958925434
Vancouver,2021-06,1074300.0,CAD,302.9,90100.0,11.923418423973363
Vancouver,2021-07,1078700.0,CAD,304.1,89902.7397260274,11.998521994849837
Vancouver,2021-08,1089000.0,CAD,307.0,89698.90410958904,12.140616552790004
Vancouver,2021-09,1107700.0,CAD,312.3,89495.06849315068,12.377218305439651
Vancouver,2021-10,1124500.0,CAD,317.0,89297.80821917808,12.592694293682522
Vancouver,2021-11,1143300.0,CAD,322.3,89093.97260273973,12.832517920127431
Vancouver,2021-12,1164300.0,CAD,328.2,88896.71232876713,13.097222265026673
Vancouver,2022-01,1195000.0,CAD,336.9,88692.87671232877,13.473460826802665
Vancouver,2022-02,1223800.0,CAD,345.0,88489.04109589041,13.829961143706365
Vancouver,2022-03,1235500.0,CAD,348.3,88304.93150684932,13.991291074204268
Vancouver,2022-04,1230600.0,CAD,346.9,88101.09589041096,13.968044183363446
Vancouver,2022-05,1225800.0,CAD,345.6,87903.83561643836,13.944783994963363
Vancouver,2022-06,1208000.0,CAD,340.6,87700.0,13.774230330672747
Vancouver,2022-07,1190100.0,CAD,335.5,87683.56164383562,13.572669468356011
Vancouver,2022-08,1171100.0,CAD,330.2,87666.57534246576,13.358569048980726
Vancouver,2022-09,1151600.0,CAD,324.7,87649.5890410959,13.1386811118995
Vancouver,2022-10,1149100.0,CAD,324.0,87633.1506849315,13.112617668299668
Vancouver,2022-11,1137100.0,CAD,320.6,87616.16438356164,12.978198806125098
Vancouver,2022-12,1127200.0,CAD,317.8,87599.72602739726,12.867620152687035
Vancouver,2023-01,1123700.0,CAD,316.8,87582.7397260274,12.830153561250887
Vancouver,2023-02,1124000.0,CAD,316.9,87565.75342465754,12.836068394787478
Vancouver,2023-03,1124500.0,CAD,317.0,87550.4109589041,12.844028802193023
Vancouver,2023-04,1144800.0,CAD,322.8,87533.42465753424,13.078432661339544
Vancouver,2023-05,1158500.0,CAD,326.6,87516.98630136986,13.23743022880881
Vancouver,2023-06,1178700.0,CAD,332.3,87500.0,13.470857142857144
Vancouver,2023-07,1194400.0,CAD,336.7,87696.72131147541,13.619665389288718
Vancouver,2023-08,1200600.0,CAD,338.5,87900.0,13.658703071672354
Vancouver,2023-09,1202900.0,CAD,339.1,88103.27868852459,13.653294382524235
Vancouver,2023-10,1200000.0,CAD,338.3,88300.0,13.590033975084937
Vancouver,2023-11,1192900.0,CAD,336.3,88503.27868852459,13.478596699205365
Vancouver,2023-12,1183200.0,CAD,333.6,88700.0,13.33934611048478
Vancouver,2024-01,1179000.0,CAD,332.4,88903.27868852459,13.26160314211429
Vancouver,2024-02,1176700.0,CAD,331.7,89106.55737704918,13.20553766902769
Vancouver,2024-03,1180800.0,CAD,332.9,89296.72131147541,13.22332984523875
Vancouver,2024-04,1182500.0,CAD,333.4,89500.0,13.212290502793296
Vancouver,2024-05,1187100.0,CAD,334.7,89696.72131147541,13.23459745956319
Vancouver,2024-06,1185800.0,CAD,334.3,89900.0,13.190211345939932
Vancouver,2024-07,1184000.0,CAD,333.8,89900.0,13.170189098998888
Vancouver,2024-08,1191300.0,CAD,335.9,89900.0,13.25139043381535
Vancouver,2024-09,1183300.0,CAD,333.6,89900.0,13.162402669632925
Vancouver,2024-10,1181800.0,CAD,333.2,89900.0,13.14571746384872
Vancouver,2024-11,1184000.0,CAD,333.8,89900.0,13.170189098998888
Vancouver,2024-12,1188100.0,CAD,335.0,89900.0,13.21579532814238
